,ItemNumber,Category,CategoryName,ItemDescription,BottleVolume(ml),Proof,Imported,Type
0,26826,1011400.0,tennessee whiskies,jack daniels old #7 black lbl,750.0,80.0,domestic,whiskey
1,69706,1082200.0,imported schnapps,dr. mcgillicuddy's root beer schnapps,750.0,42.0,imported,schnapps
2,37664,1031100.0,american vodkas,row vodka mini,50.0,80.0,domestic,vodka
3,37258,1031100.0,american vodkas,gotcha vodka,1000.0,80.0,domestic,vodka
4,43026,1062400.0,spiced rum,admiral nelson spiced rum,750.0,70.0,domestic,rum
5,38088,1031100.0,american vodkas,platinum 7x vodka,1750.0,80.0,domestic,vodka
6,36904,1031100.0,american vodkas,mccormick vodka pet,375.0,80.0,domestic,vodka
7,23824,1011100.0,blended whiskies,five star,375.0,80.0,domestic,whiskey
8,53214,1051100.0,american brandies,paul masson grande amber brandy,375.0,80.0,domestic,brandy
9,37994,1031100.0,american vodkas,smirnoff 80prf,375.0,80.0,domestic,vodka
10,917946,1901200.0,special order items,ha elmer t lee single barrel,750.0,90.0,domestic,other
11,15622,1012400.0,irish whiskies,jameson,200.0,80.0,domestic,whiskey
12,26827,1011400.0,tennessee whiskies,jack daniels old #7 black lbl,1000.0,80.0,domestic,whiskey
13,43123,1062200.0,puerto rico & virgin islands rum,bacardi superior rum,200.0,80.0,domestic,rum
14,11588,1012100.0,canadian whiskies,black velvet reserve,1750.0,80.0,domestic,whiskey
15,5247,1012300.0,single malt scotch,highland park 12yr viking honour,750.0,86.0,domestic,whiskey
16,18006,1011200.0,straight bourbon whiskies,buffalo trace bourbon,750.0,90.0,domestic,whiskey
17,10803,1012100.0,canadian whiskies,crown royal regal apple mini,50.0,80.0,domestic,whiskey
18,72927,1062500.0,flavored rum,captain morgan sliced apple mini,50.0,70.0,domestic,rum
19,21212,1701100.0,temporary & specialty packages,rebel 10yr single barrel,750.0,100.0,domestic,other
20,34255,1032200.0,imported flavored vodka,effen raspberry,750.0,70.0,imported,vodka
21,16086,1011500.0,straight rye whiskies,early times bottled in bond,1000.0,100.0,domestic,whiskey
22,43338,1062400.0,spiced rum,captain morgan spiced rum,1750.0,70.0,domestic,rum
23,44476,1062500.0,flavored rum,cruzan coconut rum,750.0,42.0,domestic,rum
24,927461,1901200.0,special order items,sooh breckenridge bourbon,750.0,86.0,domestic,whiskey
25,25608,1011100.0,blended whiskies,seagrams 7 crown bl whiskey,1750.0,80.0,domestic,whiskey
26,37348,1031100.0,american vodkas,phillips vodka,1750.0,80.0,domestic,vodka
27,48099,1052100.0,imported brandies,hennessy vs,200.0,80.0,imported,brandy
28,28210,1042100.0,imported dry gins,bombay sapphire east,750.0,84.0,imported,gin
