,StoreNumber,StoreName,County,CountyNumber,City,ZipCode,StoreLocation,Address,StoreType
0,4205,fareway stores #467 / marshalltown,marshall,64,marshalltown,50158,POINT (-92.914409 42.038157000000005),102 west anson st,Supermarket
1,2576,hy-vee wine and spirits / storm lake,buena vista,11,storm lake,50588,POINT (-95.200758 42.65318400000001),1250 n lake st,Supermarket
2,2578,hy-vee / charles city,floyd,34,charles city,50616,POINT (-92.67556000000002 43.066993),901 kelly st,Supermarket
3,2527,hy-vee food store #5 / des moines,polk,77,des moines,50315,POINT (-93.602372 41.526289),1107 se army post rd,Other Grocery
4,3721,wal-mart 0913 / decorah,winneshiek,96,decorah,52101,POINT (-91.753135 43.290041),1798 old stage rd,Convenience
5,2597,hy-vee food store / cherokee,cherokee,18,cherokee,51012,POINT (-95.552585 42.765259),1300 n. second,Other Grocery
6,5915,the hut / council bluffs,pottawattamie,78,council bluffs,51501,POINT (-95.873073 41.261866),1925 w broadway,Other
7,3907,smokin' joe's #16 tobacco and liquor outlet,muscatine,70,muscatine,52761,POINT (-91.030569 41.442458),1504 park ave,Liquor/Tobacco
8,5222,leo1  /  cedar rapids,linn,57,cedar rapids,52402,POINT (-91.652082 41.988229),"1500, 1st  ave ne",Other
9,4518,casey's general store #2824 / wdm,polk,77,west des moines,50266,POINT (-93.799283 41.561791),6630 mills civic parkway,Convenience
10,5529,big 10 mart,missing,999999,missing,,,missing,Convenience
11,5198,riverside liquor,scott,82,davenport,52803,POINT (-90.561741 41.524926),826 e river dr,Liquor/Tobacco
12,2650,hy-vee wine and spirits / harlan,shelby,83,harlan,51537,POINT (-95.339881 41.650658),1808 23rd st,Supermarket
13,4447,quik trip #567 / urbandale,polk,77,urbandale,50322,POINT (-93.755433 41.62945),"9915, douglas ave",Convenience
14,2228,rodgers spirits and more,madison,61,winterset,50273,POINT (-94.013374 41.336405),53 green st,Liquor/Tobacco
15,5873,west d liquors,polk,77,west des moines,50265,POINT (-93.772974 41.572144),5014 ep true pkwy,Liquor/Tobacco
16,5660,north side liquor & tobacco / dubuque,dubuque,31,dubuque,52001,POINT (-90.670151 42.5116),2013 central ave,Liquor/Tobacco
17,4067,freeman foods,wapello,90,wellman,52356,POINT (-91.837922 41.465008),268 8th ave,Other Grocery
18,6108,double d liquor store / waukon,allamakee,3,waukon,52172,POINT (-91.473634 43.262114),618 rossville rd,Liquor/Tobacco
19,2573,hy-vee food store / muscatine,muscatine,70,muscatine,52761,POINT (-91.035138 41.451349),2400 2nd ave,Other Grocery
20,5292,john's qwik stop,benton,6,vinton,52349,POINT (-92.027865 42.163119),"814, c ave",Convenience
21,2665,hy-vee / waukee,dallas,25,waukee,50263,POINT (-93.854477 41.615059),1005 e hickman rd,Supermarket
22,6204,depot liquor & grocery / marshalltown,marshall,64,marshalltown,50158,POINT (-93.739275 41.372001),114 center st.,Other Grocery
23,4741,walgreens #03700 / council bluffs,pottawattamie,78,council bluffs,51503,POINT (-95.839753 41.266015),535 e broadway,Drug
24,2535,hy-vee food store #1 / wdm,polk,77,west des moines,50266,POINT (-93.75351 41.59768),1700 valley west dr.,Other Grocery
25,2616,hy-vee food and drug / clinton,clinton,23,clinton,52732,POINT (-90.193204 41.836268000000004),901 south 4th st,Other Grocery
26,4157,fareway stores #993 / north liberty,johnson,52,north liberty,52317,POINT (-91.608385 41.741097),615 westwood dr   p.o box 96,Supermarket
27,2509,hy-vee / drugtown #1 / cedar rapids,linn,57,cedar rapids,52404,POINT (-91.67706 41.962419),1520 6th st sw,Supermarket
28,4464,perfect value liquor mart,scott,82,eldridge,52748,POINT (-90.547796 41.695329),5b  lincoln ave,Convenience
29,2619,hy-vee wine and spirits / wdm,polk,77,west des moines,50266,POINT (-93.808855 41.598515),1725  74th st,Supermarket
30,5138,kellogg country store,jasper,50,kellogg,50135,POINT (-92.903113 41.7144),"103, blair st",Convenience
31,4152,food land super markets,harrison,43,missouri valley,51555,POINT (-95.899346 41.557404),407 w huron,Other Grocery
32,2190,"central city liquor, inc.",polk,77,des moines,50314,POINT (-93.619787 41.60566),1460 2nd ave,Liquor/Tobacco
33,2614,hy-vee #3 food and drugstore,scott,82,davenport,52807,POINT (-90.548919 41.55678100000001),1823 e kimberly rd,Other Grocery
34,2666,hy-vee food store #2 / state ankeny,polk,77,ankeny,50023,POINT (-93.621824 41.705188),2510 sw state st,Other Grocery
35,2713,hy-vee dyersville dollar fresh,dubuque,31,dyersville,52040,POINT (-91.110798 42.475283),1201 12th ave se,Supermarket
36,5092,kum & go #3035 / west des moines,polk,77,west des moines,50265,POINT (-93.80783900000002 41.589057),7265 vista dr,Convenience
37,5289,yesway store # 10020/ story city,story,85,story city,50248,POINT (-93.597789 42.186722),527 park ave,Convenience
38,2633,hy-vee #3 / bdi / des moines,polk,77,des moines,50320,POINT (-93.596754 41.554101),3221 se 14th st,Supermarket
39,5355,casey's general store # 3523/ eldridge,scott,82,eldridge,52748,POINT (-90.549067 41.695339),26701 scott park rd.,Convenience
40,5064,casey's general store #2777 / fairfa,linn,57,fairfax,52228,POINT (-91.779035 41.929161),"65, williams blvd",Convenience
41,5362,crossroads wine & spirits llc,harrison,43,dunlap,51529,POINT (-95.602969 41.854728),117 iowa ave,Liquor/Tobacco
42,5512,casey's general store #3639 / postville,allamakee,3,postville,52162,POINT (-91.580193 43.084432),620 w tilden st,Convenience
43,4622,quik trip #544 / se 14th dm,polk,77,des moines,50320,POINT (-93.596748 41.548497),"3941, se 14th st",Convenience
44,2678,hy-vee fast & fresh / davenport,scott,82,davenport,52807,POINT (-90.527278 41.553879),3200 e kimberly rd.,Supermarket
45,5852,casey's general store #2256 - dewitt,clinton,23,dewitt,52742,POINT (-90.552434 41.825724),1515 11th street,Convenience
46,3882,kwik shop #579 / davenport,scott,82,davenport,,,missing,Convenience
47,4638,gd xpress / davenport,scott,82,davenport,52806,POINT (-90.610249 41.567504),4607 n pine st,Other
48,5645,phillips 66 / grinnell,poweshiek,79,grinnell,50112,POINT (-92.727379 41.745903),1031 west st,Other
49,4706,walgreens #05144 / clinton,clinton,23,clinton,52732,POINT (-90.182002 41.866652),1905 n  2nd st,Drug
50,5366,liquor beer & tobacco outlet,floyd,34,charles city,50616,POINT (-92.661881 43.05913400000001),1908 clark st,Liquor/Tobacco
51,5910,eldridge mart,scott,82,eldridge,52748,POINT (-90.58154 41.654676),209 e. le claire rd,Convenience
52,5886,beecher liquor / dubuque,dubuque,31,dubuque,52001,POINT (-90.696886 42.500775000000004),1691 asbury rd,Liquor/Tobacco
53,5533,fareway stores #183 / fleur,polk,77,des moines,50321,POINT (-93.644925 41.545286),4313 fleur dr,Supermarket
54,4559,osage payless foods,mitchell,66,osage,50461,POINT (-92.811539 43.285134),633 chase st,Other Grocery
55,4652,brady mart food & liquor,scott,82,davenport,52803,POINT (-90.569719 41.55216),"3107, brady st",Other Grocery
56,4969,lake liquors wine and spirits,cerro gordo,17,clear lake,50428,POINT (-93.396651 43.142775),910 n 8th st w,Liquor/Tobacco
57,4524,casey's general store #1139 / nora springs,floyd,34,nora springs,50458,POINT (-93.005225 43.142731),14 e congress,Convenience
58,4131,fareway stores #933 / urbandale,polk,77,urbandale,50322,POINT (-93.734312 41.643829),8450 meredith dr,Supermarket
59,6173,mini-mart / independence,buchanan,10,independence,50644,POINT (-91.901687 42.468633),709 1st street west,Convenience
60,2550,hy-vee food store / osceola,clarke,20,osceola,50213,POINT (-93.77321 41.030569),510 west mclane,Other Grocery
61,4467,kum & go #438 / muscatine,muscatine,70,muscatine,52761,POINT (-91.030595 41.441918),1429 park ave,Convenience
62,2465,sid's beverage shop,dubuque,31,dubuque,52003,POINT (-90.705328 42.491862),2727 dodge st,Liquor/Tobacco
63,3696,wal-mart 1723 / des moines,polk,77,des moines,50315,POINT (-93.59312500000001 41.536957),5101 se 14th st,Convenience
64,4694,rina mart llc / davenport,scott,82,davenport,52806,POINT (-90.631357 41.561712),"3815, west kimberly rd",Convenience
65,2459,reinhart foods,guthrie,39,guthrie center,50115,POINT (-94.505071 41.677289),200 state st,Other Grocery
66,5007,brother's market / denver,bremer,9,denver,50622,POINT (-92.336297 42.66167),1022 skylar st,Other Grocery
67,6004,casey's general store #2659 / columbus junction,black hawk,7,columbus junction,52738,POINT (-91.356566 41.278957),201 e access rd,Convenience
68,5605,casey's general store #1416 / new hampton,chickasaw,19,new hampton,50659,POINT (-92.31783500000002 43.065235),615 n linn ave,Convenience
69,5010,sac city food pride,sac,81,sac city,50583,POINT (-95.002637 42.422404),106 s 16th st,Other Grocery
70,5906,polk city liquor,polk,77,polk city,,,missing,Liquor/Tobacco
